zone,crop,planting_month,planting_month_name,harvest_month,harvest_month_name,rainfall_reliability_score,phase,activity,start_week_offset,end_week_offset,approx_start_month,approx_end_month,approx_start_month_num,activity_notes
North Central,Cassava,4,Apr,2,Feb,0.917,PRE_PLANTING,Land clearing and primary tillage,-4,-3,Mar,Mar,3,Remove stumps; plough to 30cm depth
North Central,Cassava,4,Apr,2,Feb,0.917,PRE_PLANTING,Stem cutting procurement and curing,-2,-1,Mar,Mar,3,Select disease-free cuttings 25cm long; cure 3–5 days
North Central,Cassava,4,Apr,2,Feb,0.917,PRE_PLANTING,Mound or ridge formation,-1,0,Mar,Apr,3,Form ridges 30cm high; spacing 1×1m
North Central,Cassava,4,Apr,2,Feb,0.917,PLANTING,Planting stem cuttings,0,0,Apr,Apr,4,"Plant at 45° angle, 2/3 buried; 10,000 cuttings/ha"
North Central,Cassava,4,Apr,2,Feb,0.917,EARLY_GROWTH,Gap filling,2,3,Apr,Apr,4,Replace failed cuttings before canopy closure
North Central,Cassava,4,Apr,2,Feb,0.917,EARLY_GROWTH,First weeding,4,6,May,May,5,Critical period: weed-free first 3 months
North Central,Cassava,4,Apr,2,Feb,0.917,VEGETATIVE,First fertilizer application,8,8,Jun,Jun,6,NPK 15:15:15 at 2 months; place 10cm from stem
North Central,Cassava,4,Apr,2,Feb,0.917,VEGETATIVE,Pest scouting — whitefly and CMD,8,20,Jun,Sep,6,Scout fortnightly; rogue CMV-infected plants
North Central,Cassava,4,Apr,2,Feb,0.917,VEGETATIVE,Second weeding,10,12,Jun,Jul,6,Before secondary canopy closure
North Central,Cassava,4,Apr,2,Feb,0.917,VEGETATIVE,Second fertilizer application,16,16,Aug,Aug,8,Potassium sulphate at 4 months for tuber bulking
North Central,Cassava,4,Apr,2,Feb,0.917,REPRODUCTIVE,Tuber bulking monitoring,24,36,Oct,Jan,10,Monitor canopy colour; yellowing = nutrient stress
North Central,Cassava,4,Apr,2,Feb,0.917,PRE_HARVEST,Maturity assessment,36,40,Jan,Feb,1,Check HCN content if bitter variety; test tuber size
North Central,Cassava,4,Apr,2,Feb,0.917,HARVEST,Harvesting,40,44,Feb,Mar,2,Mechanical or manual uprooting; avoid tuber damage
North Central,Cassava,4,Apr,2,Feb,0.917,POST_HARVEST,Processing or storage,44,48,Mar,Apr,3,Process within 24–48hrs (perishable); or wax-coat
North Central,Cassava,4,Apr,2,Feb,0.917,POST_HARVEST,Field ratoon or new land prep,44,52,Mar,May,3,For ratoon crop: cut stems to 50cm; fertilize
North Central,Cocoa beans,4,Apr,12,Dec,0.917,PRE_PLANTING,Nursery pod selection and seeding,-12,-8,Jan,Feb,1,Select pods from high-yielding trees; sow in poly bags
North Central,Cocoa beans,4,Apr,12,Dec,0.917,PRE_PLANTING,Shade tree establishment,-8,-4,Feb,Mar,2,Plant plantain or Gliricidia as temporary shade
North Central,Cocoa beans,4,Apr,12,Dec,0.917,PRE_PLANTING,Land preparation and pegging,-4,-2,Mar,Mar,3,Peg holes at 3×3m; apply basal fertilizer
North Central,Cocoa beans,4,Apr,12,Dec,0.917,PLANTING,Transplanting cocoa seedlings,0,0,Apr,Apr,4,Transplant 4–6 month seedlings; plant under shade
North Central,Cocoa beans,4,Apr,12,Dec,0.917,EARLY_GROWTH,Mulching and establishment care,1,8,Apr,Jun,4,Mulch basin; water if dry; control weeds by hand
North Central,Cocoa beans,4,Apr,12,Dec,0.917,VEGETATIVE,Shade management,8,16,Jun,Aug,6,Gradually reduce shade as canopy develops
North Central,Cocoa beans,4,Apr,12,Dec,0.917,VEGETATIVE,Fertilizer application,12,12,Jul,Jul,7,NPK at 12 months; apply in ring 30cm from stem
North Central,Cocoa beans,4,Apr,12,Dec,0.917,VEGETATIVE,Black pod disease scouting,12,32,Jul,Dec,7,Spray copper fungicide at 2-week intervals in wet season
North Central,Cocoa beans,4,Apr,12,Dec,0.917,VEGETATIVE,Pruning — jorquette formation,16,20,Aug,Sep,8,Shape jorquette; remove chupons and dead wood
North Central,Cocoa beans,4,Apr,12,Dec,0.917,REPRODUCTIVE,Flushing and flowering monitoring,24,32,Oct,Dec,10,Ensure good shade; remove mummified pods
North Central,Cocoa beans,4,Apr,12,Dec,0.917,REPRODUCTIVE,Cherelle wilt assessment,28,36,Nov,Jan,11,Normal to lose 80% of chereelles; do not panic
North Central,Cocoa beans,4,Apr,12,Dec,0.917,HARVEST,Pod breaking and bean extraction,36,44,Jan,Mar,1,Harvest yellow/orange pods; extract beans same day
North Central,Cocoa beans,4,Apr,12,Dec,0.917,POST_HARVEST,Fermentation,36,37,Jan,Jan,1,Ferment 5–6 days in boxes; turn daily from day 2
North Central,Cocoa beans,4,Apr,12,Dec,0.917,POST_HARVEST,Drying and grading,37,38,Jan,Jan,1,Sun-dry to 7.5% moisture; grade and bag 62.5kg
North Central,Maize,4,Apr,8,Aug,0.917,PRE_PLANTING,Land clearing and ploughing,-4,-3,Mar,Mar,3,Deep tillage 20–25cm; remove crop residues
North Central,Maize,4,Apr,8,Aug,0.917,PRE_PLANTING,Soil testing and input procurement,-3,-2,Mar,Mar,3,"Procure certified seed, NPK 15:15:15, herbicide"
North Central,Maize,4,Apr,8,Aug,0.917,PRE_PLANTING,Harrowing and ridging,-2,-1,Mar,Mar,3,Final seedbed preparation; form ridges or flat bed
North Central,Maize,4,Apr,8,Aug,0.917,PLANTING,Sowing,0,0,Apr,Apr,4,2–3 seeds/hole at 75×25cm spacing; thin to 1 plant
North Central,Maize,4,Apr,8,Aug,0.917,EARLY_GROWTH,Pre-emergence herbicide application,1,1,Apr,Apr,4,Apply within 3 days of planting on moist soil
North Central,Maize,4,Apr,8,Aug,0.917,EARLY_GROWTH,Gap filling,2,2,Apr,Apr,4,Replace failed stands; maintain plant population
North Central,Maize,4,Apr,8,Aug,0.917,EARLY_GROWTH,First weeding,3,4,Apr,May,4,Hand-hoe or post-emergence herbicide at 3 WAP
North Central,Maize,4,Apr,8,Aug,0.917,VEGETATIVE,First fertilizer application (NPK),4,4,May,May,5,Apply NPK 15:15:15 at 4 WAP; side-dress and cover
North Central,Maize,4,Apr,8,Aug,0.917,VEGETATIVE,Pest scouting — stem borer,5,8,May,Jun,5,Scout weekly; apply insecticide at threshold
North Central,Maize,4,Apr,8,Aug,0.917,VEGETATIVE,Second weeding,6,7,May,May,5,Before canopy closure; critical for yield protection
North Central,Maize,4,Apr,8,Aug,0.917,REPRODUCTIVE,Second fertilizer application (Urea),8,8,Jun,Jun,6,Urea top-dress at tasselling; do not fold into leaves
North Central,Maize,4,Apr,8,Aug,0.917,REPRODUCTIVE,Fall armyworm scouting,8,12,Jun,Jul,6,High-risk period; apply biopesticide if threshold met
North Central,Maize,4,Apr,8,Aug,0.917,REPRODUCTIVE,Pollination monitoring,9,10,Jun,Jun,6,Ensure good silk coverage; no pesticide during silking
North Central,Maize,4,Apr,8,Aug,0.917,PRE_HARVEST,Maturity assessment,14,15,Jul,Jul,7,Check husk colour and grain hardness; moisture <25%
North Central,Maize,4,Apr,8,Aug,0.917,HARVEST,Harvesting and field drying,15,16,Jul,Aug,7,Snap cobs; sun-dry to <13% moisture for storage
North Central,Maize,4,Apr,8,Aug,0.917,POST_HARVEST,Shelling and bagging,16,17,Aug,Aug,8,Shell when dry; use hermetic bags for storage
North Central,Maize,4,Apr,8,Aug,0.917,POST_HARVEST,Field cleanup and compost preparation,17,18,Aug,Aug,8,Incorporate stover; prepare compost pit for off-season
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,PRE_PLANTING,Pre-nursery preparation,-8,-6,Feb,Feb,2,Germinate seeds; transfer to pre-nursery at 3 months
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,PRE_PLANTING,Main nursery,-6,-1,Feb,Mar,2,Grow in main nursery 12 months; harden off before planting
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,PRE_PLANTING,Land clearing and holing,-2,-1,Mar,Mar,3,Clear undergrowth; dig 60×60×60cm holes; apply rock phos
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,PLANTING,Transplanting seedlings,0,0,Apr,Apr,4,Plant 18-month seedlings at 9×9m triangular; mulch basin
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,EARLY_GROWTH,Establishment weeding,2,4,Apr,May,4,Circle weed monthly for first 2 years
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,EARLY_GROWTH,Cover crop establishment,2,8,Apr,Jun,4,Sow Pueraria cover between palms to suppress weeds
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,VEGETATIVE,First year fertilizer,12,12,Jul,Jul,7,Muriate of Potash + Urea at 12 months per palm
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,VEGETATIVE,Frond management,16,20,Aug,Sep,8,Remove oldest fronds; do not over-prune
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,VEGETATIVE,Second year fertilizer,24,24,Oct,Oct,10,Full NPK per palm at year 2
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,REPRODUCTIVE,First bunch monitoring (yr 3+),36,52,Jan,May,1,Count bunches; thin excess in first bearing year
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,REPRODUCTIVE,Bunch harvest cycle begins,40,52,Feb,May,2,Harvest ripe bunches every 10–14 days
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,HARVEST,Ongoing bunch harvesting,40,52,Feb,May,2,Use harvesting chisel; harvest at black fruit threshold
North Central,Oil palm fruit,4,Apr,4,Apr,0.917,POST_HARVEST,FFB transport and processing,40,52,Feb,May,2,Transport within 24hrs to avoid FFA rise
North Central,Rice (paddy),5,May,10,Oct,0.917,PRE_PLANTING,Nursery bed preparation,-4,-4,Apr,Apr,4,Prepare raised nursery bed 1×10m per ha field
North Central,Rice (paddy),5,May,10,Oct,0.917,PRE_PLANTING,Seed soaking and pregermination,-3,-3,Apr,Apr,4,Soak 24hr; drain 24hr; sow at pin-point germination
North Central,Rice (paddy),5,May,10,Oct,0.917,PRE_PLANTING,Nursery seeding,-3,-2,Apr,Apr,4,Broadcast 40g/m² in nursery; flood to 2cm depth
North Central,Rice (paddy),5,May,10,Oct,0.917,PRE_PLANTING,Land puddling and bund construction,-2,-1,Apr,Apr,4,Puddle field; form bunds to retain water
North Central,Rice (paddy),5,May,10,Oct,0.917,PLANTING,Transplanting,0,1,May,May,5,Transplant 3-week-old seedlings; 2–3 per hill; 20×20cm
North Central,Rice (paddy),5,May,10,Oct,0.917,EARLY_GROWTH,Flood management,1,3,May,May,5,Maintain 5cm flood depth; drain for weeding
North Central,Rice (paddy),5,May,10,Oct,0.917,EARLY_GROWTH,First weeding (drain and hand-weed),2,3,May,May,5,Drain field; weed; re-flood within 24hrs
North Central,Rice (paddy),5,May,10,Oct,0.917,VEGETATIVE,First fertilizer application (NPK),3,3,May,May,5,Apply before re-flooding; broadcast and flood
North Central,Rice (paddy),5,May,10,Oct,0.917,VEGETATIVE,Pest scouting — stem borer and BPH,4,10,Jun,Jul,6,Scout twice weekly; avoid broad-spectrum at tillering
North Central,Rice (paddy),5,May,10,Oct,0.917,VEGETATIVE,Second weeding or herbicide,5,6,Jun,Jun,6,Post-emergence herbicide or drain-and-hoe
North Central,Rice (paddy),5,May,10,Oct,0.917,REPRODUCTIVE,Second fertilizer — Urea at panicle,8,8,Jul,Jul,7,Panicle initiation top-dress; drain 3 days before
North Central,Rice (paddy),5,May,10,Oct,0.917,REPRODUCTIVE,Water management at flowering,9,11,Jul,Jul,7,Maintain 5cm flood; critical for pollination
North Central,Rice (paddy),5,May,10,Oct,0.917,PRE_HARVEST,Drain field and maturity check,13,14,Aug,Aug,8,Drain 2 weeks before harvest; check grain moisture
North Central,Rice (paddy),5,May,10,Oct,0.917,HARVEST,Harvesting and threshing,14,16,Aug,Sep,8,Harvest at <25% moisture; thresh within 24hrs
North Central,Rice (paddy),5,May,10,Oct,0.917,POST_HARVEST,Drying and milling preparation,16,18,Sep,Sep,9,Sun-dry to <14%; bag for milling or storage
North Central,Sorghum,4,Apr,9,Sep,0.917,PRE_PLANTING,Land clearing and tillage,-4,-3,Mar,Mar,3,Minimum tillage acceptable; remove previous stubble
North Central,Sorghum,4,Apr,9,Sep,0.917,PRE_PLANTING,Input procurement,-2,-1,Mar,Mar,3,"Procure certified seed, NPK fertilizer"
North Central,Sorghum,4,Apr,9,Sep,0.917,PLANTING,Sowing,0,0,Apr,Apr,4,Drill or spot sow; 75×20cm; thin to 1 plant at 2 WAP
North Central,Sorghum,4,Apr,9,Sep,0.917,EARLY_GROWTH,Thinning and gap filling,2,3,Apr,Apr,4,Thin to 1 seedling/hole; fill gaps with reserve seed
North Central,Sorghum,4,Apr,9,Sep,0.917,VEGETATIVE,"Pest scouting — shoot fly, aphids",2,10,Apr,Jun,4,Scout weekly; apply systemic insecticide at threshold
North Central,Sorghum,4,Apr,9,Sep,0.917,EARLY_GROWTH,First weeding,3,5,Apr,May,4,Critical period; weed before 4 WAP
North Central,Sorghum,4,Apr,9,Sep,0.917,VEGETATIVE,Fertilizer application,5,5,May,May,5,NPK at 5 WAP; side-dress; avoid waterlogging
North Central,Sorghum,4,Apr,9,Sep,0.917,VEGETATIVE,Second weeding,7,8,May,Jun,5,Before panicle initiation
North Central,Sorghum,4,Apr,9,Sep,0.917,REPRODUCTIVE,Bird scare implementation,14,18,Jul,Aug,7,Continuous bird-scaring from grain filling to harvest
North Central,Sorghum,4,Apr,9,Sep,0.917,REPRODUCTIVE,Mould monitoring,15,20,Jul,Sep,7,Check for grain mould in high-humidity zones
North Central,Sorghum,4,Apr,9,Sep,0.917,PRE_HARVEST,Maturity assessment,18,20,Aug,Sep,8,Panicle colour and grain hardness check
North Central,Sorghum,4,Apr,9,Sep,0.917,HARVEST,Harvesting,20,21,Sep,Sep,9,Cut panicles; head by head; avoid shattering
North Central,Sorghum,4,Apr,9,Sep,0.917,POST_HARVEST,Threshing and drying,21,22,Sep,Sep,9,Sun-dry to <12% moisture; bag in hermetic storage
North Central,Yam,3,Mar,10,Oct,0.917,PRE_PLANTING,Mound construction,-4,-3,Feb,Feb,2,Form 1×1m mounds 30–50cm high before rains; labour-intensive
North Central,Yam,3,Mar,10,Oct,0.917,PRE_PLANTING,Seed yam sett preparation,-3,-2,Feb,Feb,2,Cut setts 150–200g; dust with fungicide/ash; cure 7 days
North Central,Yam,3,Mar,10,Oct,0.917,PRE_PLANTING,Staking material procurement,-2,-1,Feb,Feb,2,"Procure 5,000 stakes/ha; pre-plant before sowing"
North Central,Yam,3,Mar,10,Oct,0.917,PLANTING,Planting seed yam setts,0,0,Mar,Mar,3,Plant on top of mound; 5cm depth; 1 sett/mound
North Central,Yam,3,Mar,10,Oct,0.917,EARLY_GROWTH,Staking young vines,3,4,Mar,Apr,3,Stake vines at 3–4 WAP to prevent lodging
North Central,Yam,3,Mar,10,Oct,0.917,EARLY_GROWTH,First weeding,3,5,Mar,Apr,3,Hand weed; avoid disturbing tuber zone
North Central,Yam,3,Mar,10,Oct,0.917,VEGETATIVE,First fertilizer application,6,6,Apr,Apr,4,NPK 15:15:15 at 6 WAP; side-dress around mound
North Central,Yam,3,Mar,10,Oct,0.917,VEGETATIVE,Pest scouting — yam mosaic virus,6,20,Apr,Aug,4,Scout weekly; rogue infected vines immediately
North Central,Yam,3,Mar,10,Oct,0.917,VEGETATIVE,Second weeding,8,10,May,May,5,Critical for tuber bulking; avoid root disturbance
North Central,Yam,3,Mar,10,Oct,0.917,VEGETATIVE,Second fertilizer application,10,10,May,May,5,Muriate of Potash for tuber quality
North Central,Yam,3,Mar,10,Oct,0.917,REPRODUCTIVE,Tuber monitoring,20,28,Aug,Oct,8,Observe vine senescence; partial harvest possible
North Central,Yam,3,Mar,10,Oct,0.917,PRE_HARVEST,Vine senescence assessment,26,28,Sep,Oct,9,80% vine dry-down indicates harvest readiness
North Central,Yam,3,Mar,10,Oct,0.917,HARVEST,Harvesting and destaking,28,30,Oct,Oct,10,Manual dig; avoid cuts; destake before lifting
North Central,Yam,3,Mar,10,Oct,0.917,POST_HARVEST,Barn storage or yam barn construction,30,32,Oct,Nov,10,Stack in shaded barn; inspect monthly for rot
North East,Cassava,7,Jul,5,May,0.944,PRE_PLANTING,Land clearing and primary tillage,-4,-3,Jun,Jun,6,Remove stumps; plough to 30cm depth
North East,Cassava,7,Jul,5,May,0.944,PRE_PLANTING,Stem cutting procurement and curing,-2,-1,Jun,Jun,6,Select disease-free cuttings 25cm long; cure 3–5 days
North East,Cassava,7,Jul,5,May,0.944,PRE_PLANTING,Mound or ridge formation,-1,0,Jun,Jul,6,Form ridges 30cm high; spacing 1×1m
North East,Cassava,7,Jul,5,May,0.944,PLANTING,Planting stem cuttings,0,0,Jul,Jul,7,"Plant at 45° angle, 2/3 buried; 10,000 cuttings/ha"
North East,Cassava,7,Jul,5,May,0.944,EARLY_GROWTH,Gap filling,2,3,Jul,Jul,7,Replace failed cuttings before canopy closure
North East,Cassava,7,Jul,5,May,0.944,EARLY_GROWTH,First weeding,4,6,Aug,Aug,8,Critical period: weed-free first 3 months
North East,Cassava,7,Jul,5,May,0.944,VEGETATIVE,First fertilizer application,8,8,Sep,Sep,9,NPK 15:15:15 at 2 months; place 10cm from stem
North East,Cassava,7,Jul,5,May,0.944,VEGETATIVE,Pest scouting — whitefly and CMD,8,20,Sep,Dec,9,Scout fortnightly; rogue CMV-infected plants
North East,Cassava,7,Jul,5,May,0.944,VEGETATIVE,Second weeding,10,12,Sep,Oct,9,Before secondary canopy closure
North East,Cassava,7,Jul,5,May,0.944,VEGETATIVE,Second fertilizer application,16,16,Nov,Nov,11,Potassium sulphate at 4 months for tuber bulking
North East,Cassava,7,Jul,5,May,0.944,REPRODUCTIVE,Tuber bulking monitoring,24,36,Jan,Apr,1,Monitor canopy colour; yellowing = nutrient stress
North East,Cassava,7,Jul,5,May,0.944,PRE_HARVEST,Maturity assessment,36,40,Apr,May,4,Check HCN content if bitter variety; test tuber size
North East,Cassava,7,Jul,5,May,0.944,HARVEST,Harvesting,40,44,May,Jun,5,Mechanical or manual uprooting; avoid tuber damage
North East,Cassava,7,Jul,5,May,0.944,POST_HARVEST,Processing or storage,44,48,Jun,Jul,6,Process within 24–48hrs (perishable); or wax-coat
North East,Cassava,7,Jul,5,May,0.944,POST_HARVEST,Field ratoon or new land prep,44,52,Jun,Aug,6,For ratoon crop: cut stems to 50cm; fertilize
North East,Cocoa beans,7,Jul,3,Mar,0.944,PRE_PLANTING,Nursery pod selection and seeding,-12,-8,Apr,May,4,Select pods from high-yielding trees; sow in poly bags
North East,Cocoa beans,7,Jul,3,Mar,0.944,PRE_PLANTING,Shade tree establishment,-8,-4,May,Jun,5,Plant plantain or Gliricidia as temporary shade
North East,Cocoa beans,7,Jul,3,Mar,0.944,PRE_PLANTING,Land preparation and pegging,-4,-2,Jun,Jun,6,Peg holes at 3×3m; apply basal fertilizer
North East,Cocoa beans,7,Jul,3,Mar,0.944,PLANTING,Transplanting cocoa seedlings,0,0,Jul,Jul,7,Transplant 4–6 month seedlings; plant under shade
North East,Cocoa beans,7,Jul,3,Mar,0.944,EARLY_GROWTH,Mulching and establishment care,1,8,Jul,Sep,7,Mulch basin; water if dry; control weeds by hand
North East,Cocoa beans,7,Jul,3,Mar,0.944,VEGETATIVE,Shade management,8,16,Sep,Nov,9,Gradually reduce shade as canopy develops
North East,Cocoa beans,7,Jul,3,Mar,0.944,VEGETATIVE,Fertilizer application,12,12,Oct,Oct,10,NPK at 12 months; apply in ring 30cm from stem
North East,Cocoa beans,7,Jul,3,Mar,0.944,VEGETATIVE,Black pod disease scouting,12,32,Oct,Mar,10,Spray copper fungicide at 2-week intervals in wet season
North East,Cocoa beans,7,Jul,3,Mar,0.944,VEGETATIVE,Pruning — jorquette formation,16,20,Nov,Dec,11,Shape jorquette; remove chupons and dead wood
North East,Cocoa beans,7,Jul,3,Mar,0.944,REPRODUCTIVE,Flushing and flowering monitoring,24,32,Jan,Mar,1,Ensure good shade; remove mummified pods
North East,Cocoa beans,7,Jul,3,Mar,0.944,REPRODUCTIVE,Cherelle wilt assessment,28,36,Feb,Apr,2,Normal to lose 80% of chereelles; do not panic
North East,Cocoa beans,7,Jul,3,Mar,0.944,HARVEST,Pod breaking and bean extraction,36,44,Apr,Jun,4,Harvest yellow/orange pods; extract beans same day
North East,Cocoa beans,7,Jul,3,Mar,0.944,POST_HARVEST,Fermentation,36,37,Apr,Apr,4,Ferment 5–6 days in boxes; turn daily from day 2
North East,Cocoa beans,7,Jul,3,Mar,0.944,POST_HARVEST,Drying and grading,37,38,Apr,Apr,4,Sun-dry to 7.5% moisture; grade and bag 62.5kg
North East,Maize,7,Jul,11,Nov,0.944,PRE_PLANTING,Land clearing and ploughing,-4,-3,Jun,Jun,6,Deep tillage 20–25cm; remove crop residues
North East,Maize,7,Jul,11,Nov,0.944,PRE_PLANTING,Soil testing and input procurement,-3,-2,Jun,Jun,6,"Procure certified seed, NPK 15:15:15, herbicide"
North East,Maize,7,Jul,11,Nov,0.944,PRE_PLANTING,Harrowing and ridging,-2,-1,Jun,Jun,6,Final seedbed preparation; form ridges or flat bed
North East,Maize,7,Jul,11,Nov,0.944,PLANTING,Sowing,0,0,Jul,Jul,7,2–3 seeds/hole at 75×25cm spacing; thin to 1 plant
North East,Maize,7,Jul,11,Nov,0.944,EARLY_GROWTH,Pre-emergence herbicide application,1,1,Jul,Jul,7,Apply within 3 days of planting on moist soil
North East,Maize,7,Jul,11,Nov,0.944,EARLY_GROWTH,Gap filling,2,2,Jul,Jul,7,Replace failed stands; maintain plant population
North East,Maize,7,Jul,11,Nov,0.944,EARLY_GROWTH,First weeding,3,4,Jul,Aug,7,Hand-hoe or post-emergence herbicide at 3 WAP
North East,Maize,7,Jul,11,Nov,0.944,VEGETATIVE,First fertilizer application (NPK),4,4,Aug,Aug,8,Apply NPK 15:15:15 at 4 WAP; side-dress and cover
North East,Maize,7,Jul,11,Nov,0.944,VEGETATIVE,Pest scouting — stem borer,5,8,Aug,Sep,8,Scout weekly; apply insecticide at threshold
North East,Maize,7,Jul,11,Nov,0.944,VEGETATIVE,Second weeding,6,7,Aug,Aug,8,Before canopy closure; critical for yield protection
North East,Maize,7,Jul,11,Nov,0.944,REPRODUCTIVE,Second fertilizer application (Urea),8,8,Sep,Sep,9,Urea top-dress at tasselling; do not fold into leaves
North East,Maize,7,Jul,11,Nov,0.944,REPRODUCTIVE,Fall armyworm scouting,8,12,Sep,Oct,9,High-risk period; apply biopesticide if threshold met
North East,Maize,7,Jul,11,Nov,0.944,REPRODUCTIVE,Pollination monitoring,9,10,Sep,Sep,9,Ensure good silk coverage; no pesticide during silking
North East,Maize,7,Jul,11,Nov,0.944,PRE_HARVEST,Maturity assessment,14,15,Oct,Oct,10,Check husk colour and grain hardness; moisture <25%
North East,Maize,7,Jul,11,Nov,0.944,HARVEST,Harvesting and field drying,15,16,Oct,Nov,10,Snap cobs; sun-dry to <13% moisture for storage
North East,Maize,7,Jul,11,Nov,0.944,POST_HARVEST,Shelling and bagging,16,17,Nov,Nov,11,Shell when dry; use hermetic bags for storage
North East,Maize,7,Jul,11,Nov,0.944,POST_HARVEST,Field cleanup and compost preparation,17,18,Nov,Nov,11,Incorporate stover; prepare compost pit for off-season
